tic_id,sector,fits_file,period,t0_bjd,t0_btjd,duration_hours,tstart,tstop,matched_transit_time
6663331,13,tess2019169103026-s0013-0000000006663331-0146-s_lc.fits,3.1810781,2457034.283,34.282999999821186,2.3544,1653.941647358652,1682.36243928637,1656.6328309998212
6663331,67,tess2023181235917-s0067-0000000006663331-0261-s_lc.fits,3.1810781,2457034.283,34.282999999821186,2.3544,3126.646716836669,3154.400379546173,3129.471991299821
6663331,94,tess2025180145000-s0094-0000000006663331-0291-s_lc.fits,3.1810781,2457034.283,34.282999999821186,2.3544,3856.351492709667,3881.595555164394,3857.938876199821
8260536,48,tess2022027120115-s0048-0000000008260536-0219-s_lc.fits,4.77271,2459628.61781,2628.6178100002,3.127,2607.938171152305,2635.99124502575,2609.5269700002
8400842,19,tess2019331140908-s0019-0000000008400842-0164-s_lc.fits,3.19152309,2457424.98786,424.98786000022665,2.9638,1816.088331285004,1841.153427175838,1816.4919272402267
8400842,59,tess2022330142927-s0059-0000000008400842-0248-s_lc.fits,3.19152309,2457424.98786,424.98786000022665,2.9638,2910.275279938972,2936.691793746227,2911.1843471102266
8400842,73,tess2023341045131-s0073-0000000008400842-0268-s_lc.fits,3.19152309,2457424.98786,424.98786000022665,2.9638,3285.80293763433,3312.653774213301,3287.7840717302265
8400842,86,tess2024326142117-s0086-0000000008400842-0283-s_lc.fits,3.19152309,2457424.98786,424.98786000022665,2.9638,3636.264676519593,3662.831355129727,3638.8516116302267
8767448,21,tess2020020091053-s0021-0000000008767448-0167-s_lc.fits,4.35301,2458883.80332,1883.8033199999481,4.003,1870.440440763759,1897.78614966505,1870.7442899999483
9006668,2,tess2018234235059-s0002-0000000009006668-0121-s_lc.fits,1.273099,2460205.7524,3205.752400000114,1.587,1354.113062128065,1381.519919813019,1354.666454000114
9006668,29,tess2020238165205-s0029-0000000009006668-0193-s_lc.fits,1.273099,2460205.7524,3205.752400000114,1.587,2088.244722513377,2114.438950368053,2089.244577000114
9006668,69,tess2023237165326-s0069-0000000009006668-0264-s_lc.fits,1.273099,2460205.7524,3205.752400000114,1.587,3182.359476160889,3208.14407024253,3182.836618000114
9006668,96,tess2025232030459-s0096-0000000009006668-0293-s_lc.fits,1.273099,2460205.7524,3205.752400000114,1.587,3907.779438045244,3933.436473949781,3908.503048000114
10837041,30,tess2020266004630-s0030-0000000010837041-0195-s_lc.fits,0.7826942,2459116.0139,2116.0139000001363,1.0403706,2115.890309371901,2142.491734734731,2116.0139000001363
10837041,97,tess2025258001959-s0097-0000000010837041-0294-s_lc.fits,0.7826942,2459116.0139,2116.0139000001363,1.0403706,3933.665141367881,3988.289754927067,3934.2125266001367
