tic_id,probability,candidate,snr,period,bls_power
260512882,0.0,False,0.0,0.0,0.0
471244119,0.0,False,0.0,0.0,0.0
382612997,0.0,False,0.0,0.0,0.0
220012883,0.0,False,0.0,0.0,0.0
307512996,0.0,False,0.0,0.0,0.0
167512991,0.0,False,0.0,0.0,0.0
261312992,0.0,False,0.0,0.0,0.0
137612999,0.0,False,0.0,0.0,0.0
279012885,0.0,False,0.0,0.0,0.0
306712994,0.0,False,0.0,0.0,0.0
150312996,0.0,False,0.0,0.0,0.0
220112887,0.0,False,0.0,0.0,0.0
281812995,0.0,False,0.0,0.0,0.0
272212992,0.0,False,0.0,0.0,0.0
235912884,0.0,False,0.0,0.0,0.0
404612991,0.0,False,0.0,0.0,0.0
142012883,0.0,False,0.0,0.0,0.0
300912997,0.0,False,0.0,0.0,0.0
260612995,0.0,False,0.0,0.0,0.0
471312884,0.0,False,0.0,0.0,0.0
382712992,0.0,False,0.0,0.0,0.0
220212881,0.0,False,0.0,0.0,0.0
307612990,0.0,False,0.0,0.0,0.0
167612889,0.0,False,0.0,0.0,0.0
261412997,0.0,False,0.0,0.0,0.0
137712992,0.0,False,0.0,0.0,0.0
279112884,0.0,False,0.0,0.0,0.0
306812991,0.0,False,0.0,0.0,0.0
150412883,0.0,False,0.0,0.0,0.0
220312995,0.0,False,0.0,0.0,0.0
281912992,0.0,False,0.0,0.0,0.0
272312881,0.0,False,0.0,0.0,0.0
236012999,0.0,False,0.0,0.0,0.0
404712888,0.0,False,0.0,0.0,0.0
142112993,0.0,False,0.0,0.0,0.0
301012885,0.0,False,0.0,0.0,0.0
260712994,0.0,False,0.0,0.0,0.0
471412882,0.0,False,0.0,0.0,0.0
382812991,0.0,False,0.0,0.0,0.0
220412889,0.0,False,0.0,0.0,0.0
307712992,0.0,False,0.0,0.0,0.0
167712884,0.0,False,0.0,0.0,0.0
261512991,0.0,False,0.0,0.0,0.0
137812883,0.0,False,0.0,0.0,0.0
279212995,0.0,False,0.0,0.0,0.0
306912992,0.0,False,0.0,0.0,0.0
150512881,0.0,False,0.0,0.0,0.0
220512999,0.0,False,0.0,0.0,0.0
282012888,0.0,False,0.0,0.0,0.0
272412993,0.0,False,0.0,0.0,0.0
236112885,0.0,False,0.0,0.0,0.0
404812994,0.0,False,0.0,0.0,0.0
142212882,0.0,False,0.0,0.0,0.0
301112991,0.0,False,0.0,0.0,0.0
260812889,0.0,False,0.0,0.0,0.0
471512992,0.0,False,0.0,0.0,0.0
382912884,0.0,False,0.0,0.0,0.0
220612991,0.0,False,0.0,0.0,0.0
307812883,0.0,False,0.0,0.0,0.0
167812995,0.0,False,0.0,0.0,0.0
261612992,0.0,False,0.0,0.0,0.0
137912881,0.0,False,0.0,0.0,0.0
279312999,0.0,False,0.0,0.0,0.0
307012888,0.0,False,0.0,0.0,0.0
150612993,0.0,False,0.0,0.0,0.0
220712885,0.0,False,0.0,0.0,0.0
282112994,0.0,False,0.0,0.0,0.0
272512882,0.0,False,0.0,0.0,0.0
236212991,0.0,False,0.0,0.0,0.0
404912889,0.0,False,0.0,0.0,0.0
142312992,0.0,False,0.0,0.0,0.0
301212884,0.0,False,0.0,0.0,0.0
260912991,0.0,False,0.0,0.0,0.0
471612883,0.0,False,0.0,0.0,0.0
383012995,0.0,False,0.0,0.0,0.0
220812992,0.0,False,0.0,0.0,0.0
307912881,0.0,False,0.0,0.0,0.0
167912999,0.0,False,0.0,0.0,0.0
261712888,0.0,False,0.0,0.0,0.0
138012993,0.0,False,0.0,0.0,0.0
279412885,0.0,False,0.0,0.0,0.0
